Type;Totaal leeftijd man en vrouw;Totaal leeftijd man;Totaal leeftijd vrouw;0 tot 65 jaar man en vrouw;0 tot 65 jaar man;0 tot 65 jaar vrouw;65 tot 80 jaar man en vrouw;65 tot 80 jaar man;65 tot 80 jaar vrouw;80 jaar of ouder man en vrouw;80 jaar of ouder man;80 jaar of ouder vrouw
2018 week 18;2645;1314;1331;395;234;161;767;448;319;1483;632;851
2018 week 19;2641;1342;1299;371;227;144;758;463;295;1512;652;860
2018 week 20;2606;1277;1329;350;192;158;825;479;346;1431;606;825
2018 week 21;2674;1302;1372;391;228;163;797;480;317;1486;594;892
2018 week 22;2776;1350;1426;416;237;179;857;506;351;1503;607;896
2018 week 23;2679;1313;1366;399;235;164;825;487;338;1455;591;864
2018 week 24;2557;1248;1309;372;209;163;797;463;334;1388;576;812
2018 week 25;2601;1301;1300;362;204;158;803;467;336;1436;630;806
2018 week 26;2619;1311;1308;383;243;140;784;441;343;1452;627;825
2018 week 27;2726;1326;1400;406;222;184;838;485;353;1482;619;863
2018 week 28;2671;1279;1392;408;224;184;805;475;330;1458;580;878
2018 week 29;2704;1311;1393;391;224;167;810;499;311;1503;588;915
2018 week 30;2767;1344;1423;405;246;159;824;470;354;1538;628;910
2018 week 31;2760;1335;1425;402;245;157;867;495;372;1491;595;896
2018 week 32;2745;1339;1406;424;244;180;827;497;330;1494;598;896
2018 week 33;2605;1280;1325;404;231;173;785;461;324;1416;588;828
2018 week 34;2612;1321;1291;375;210;165;813;506;307;1424;605;819
2018 week 35;2527;1275;1252;407;247;160;808;450;358;1312;578;734
2018 week 36;2613;1286;1327;417;231;186;811;459;352;1385;596;789
2018 week 37;2539;1298;1241;368;220;148;819;507;312;1352;571;781
2018 week 38;2706;1325;1381;428;263;165;868;478;390;1410;584;826
2018 week 39;2696;1337;1359;447;251;196;804;466;338;1445;620;825
2018 week 40;2806;1373;1433;441;259;182;873;477;396;1492;637;855
2018 week 41;2760;1361;1399;432;240;192;832;473;359;1496;648;848
2018 week 42;2739;1334;1405;384;220;164;831;491;340;1524;623;901
2018 week 43;2671;1345;1326;430;267;163;857;504;353;1384;574;810
2018 week 44;2815;1373;1442;408;247;161;920;523;397;1487;603;884
2018 week 45;2798;1406;1392;407;226;181;907;531;376;1484;649;835
2018 week 46;2761;1332;1429;431;248;183;825;477;348;1505;607;898
2018 week 47;2859;1398;1461;403;223;180;928;525;403;1528;650;878
2018 week 48;2907;1407;1500;423;250;173;916;515;401;1568;642;926
2018 week 49;2968;1463;1505;438;239;199;905;529;376;1625;695;930
2018 week 50;3017;1512;1505;470;270;200;960;572;388;1587;670;917
2018 week 51;3041;1474;1567;425;246;179;928;507;421;1688;721;967
2018 week 52;2901;1405;1496;408;216;192;909;530;379;1584;659;925
2019 week 1;3062;1250;1356;340;191;149;715;394;321;1551;665;886
